Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
GUAYAS;-2,14819310;-79,88430990;68;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;08/04/2023;ENCONTRADO;01/05/2023
LOJA;-4,01205214;-79,24148117;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/03/2023;ENCONTRADO;20/04/2023
LOJA;-3,97743488;-79,20119179;8;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/04/2023;ENCONTRADO;06/04/2023
EL ORO;-3,32858840;-79,79059820;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/04/2023;ENCONTRADO;04/05/2023
EL ORO;-3,32794750;-79,74301450;79;HOMBRE;SIN_DATO;SIN_DATO;03/04/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,07781380;-78,43167600;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/05/2023;ENCONTRADO;29/05/2023
PICHINCHA;-0,07781380;-78,43167600;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/05/2023;ENCONTRADO;29/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26710180;-79,18188474;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/03/2023;ENCONTRADO;05/04/2023
ESMERALDAS;0,91540972;-79,69915867;50;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;26/05/2023;ENCONTRADO;30/05/2023
GUAYAS;-2,19198170;-79,88120615;31;HOMBRE;FALLECIDO;NO DETERMINADA;04/04/2023;FALLECIDO;05/04/2023
ESMERALDAS;0,98831245;-79,65384149;44;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;30/04/2023;ENCONTRADO;04/05/2023
SANTA ELENA;-1,94086200;-80,71932800;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/04/2023;ENCONTRADO;25/04/2023
LOJA;-3,99520650;-79,20221230;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/01/2023;ENCONTRADO;04/04/2023
ESMERALDAS;0,32272650;-79,47856240;12;MUJER;SIN_DATO;SIN_DATO;15/05/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,20215620;-78,49784450;60;HOMBRE;FALLECIDO;NO DETERMINADA;21/04/2023;FALLECIDO;27/04/2023
SANTA ELENA;-2,24062877;-80,90524771;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/04/2023;ENCONTRADO;21/04/2023
TUNGURAHUA;-1,31026722;-78,54163813;42;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;26/03/2023;ENCONTRADO;03/04/2023
NAPO;-1,00391019;-77,81126976;13;MUJER;SIN_DATO;SIN_DATO;19/04/2023;DESAPARECIDO;SIN_DATO
BOLIVAR;-1,59985296;-78,99527804;28;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/05/2023;ENCONTRADO;08/06/2023
EL ORO;-3,27913920;-79,91668710;35;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/04/2023;ENCONTRADO;05/05/2023
EL ORO;-3,27913920;-79,91668710;6;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/04/2023;ENCONTRADO;05/05/2023
PICHINCHA;-0,32794210;-78,54094160;83;HOMBRE;EXTRAVIADA;HOSPITALIZADO;29/05/2023;ENCONTRADO;30/05/2023
LOJA;-3,96592300;-79,75985700;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/04/2023;ENCONTRADO;14/04/2023
BOLIVAR;-1,73110062;-79,06177769;50;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;01/05/2023;ENCONTRADO;18/05/2023
CHIMBORAZO;-1,67571140;-78,65223650;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/04/2023;ENCONTRADO;06/04/2023
PICHINCHA;-0,14591470;-78,48158790;87;HOMBRE;SIN_DATO;SIN_DATO;29/05/2023;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,80544000;-78,60121200;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/03/2023;ENCONTRADO;15/04/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26564290;-79,16608800;28;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/04/2023;ENCONTRADO;24/05/2023
MORONA SANTIAGO;-2,45688870;-78,16833971;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/04/2023;ENCONTRADO;02/05/2023
CHIMBORAZO;-1,56539989;-78,75094414;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/04/2023;ENCONTRADO;03/05/2023
IMBABURA;0,38551530;-78,31594110;65;HOMBRE;FALLECIDO;ACCIDENTAL;12/05/2023;FALLECIDO;19/05/2023
PICHINCHA;-0,15560200;-78,37284560;6;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/04/2023;ENCONTRADO;02/05/2023
GUAYAS;-2,12393940;-79,89981010;25;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/04/2023;ENCONTRADO;02/05/2023
PICHINCHA;-0,20938340;-78,50203890;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/05/2023;ENCONTRADO;30/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26564290;-79,16608800;1;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/04/2023;ENCONTRADO;24/05/2023
PICHINCHA;-0,15560200;-78,37284560;36;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/04/2023;ENCONTRADO;02/05/2023
GUAYAS;-2,23113377;-79,91263278;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/04/2023;ENCONTRADO;13/04/2023
LOJA;-4,00634483;-79,20251892;44;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;27/04/2023;ENCONTRADO;04/05/2023
PICHINCHA;-0,15560200;-78,37284560;3;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/04/2023;ENCONTRADO;02/05/2023
PICHINCHA;-0,21002496;-78,48391132;31;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/04/2023;ENCONTRADO;11/04/2023
GUAYAS;-1,91589840;-80,01296790;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/04/2023;ENCONTRADO;06/04/2023
PICHINCHA;-0,22441873;-78,49839648;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/05/2023;ENCONTRADO;29/05/2023
MORONA SANTIAGO;-2,30067391;-78,09918880;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/04/2023;ENCONTRADO;27/04/2023
EL ORO;-3,25994247;-79,93888514;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/05/2023;ENCONTRADO;30/05/2023
ESMERALDAS;0,13514895;-79,40497760;26;HOMBRE;SIN_DATO;SIN_DATO;05/04/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,17072110;-79,08316940;47;HOMBRE;SIN_DATO;SIN_DATO;18/03/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,21072520;-78,44108950;27;HOMBRE;SIN_DATO;SIN_DATO;13/03/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,20064202;-78,49013788;33;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;25/03/2023;ENCONTRADO;05/04/2023
GUAYAS;-2,16901920;-79,80584070;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/04/2023;ENCONTRADO;02/05/2023
LOS RIOS;-1,55936862;-79,74919345;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/04/2023;ENCONTRADO;17/04/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24522861;-79,16401723;23;HOMBRE;SIN_DATO;SIN_DATO;26/05/2023;DESAPARECIDO;SIN_DATO
CARCHI;0,79255997;-77,73766996;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/05/2023;ENCONTRADO;30/05/2023
NAPO;-0,90856240;-77,80813630;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/05/2023;ENCONTRADO;04/05/2023
ESMERALDAS;0,96834201;-79,66324234;18;HOMBRE;SIN_DATO;SIN_DATO;28/03/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,24027910;-79,92206860;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/04/2023;ENCONTRADO;03/05/2023
COTOPAXI;-0,93261414;-78,61730735;64;MUJER;SIN_DATO;SIN_DATO;17/05/2023;DESAPARECIDO;SIN_DATO
CARCHI;0,59106180;-77,82964980;85;HOMBRE;FALLECIDO;MUERTE NATURAL;15/05/2023;FALLECIDO;26/05/2023
CHIMBORAZO;-1,64436800;-78,58738700;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;02/04/2023;ENCONTRADO;14/04/2023
ESMERALDAS;0,95997139;-79,64823620;34;HOMBRE;FALLECIDO;ASESINATO;31/03/2023;FALLECIDO;05/04/2023
GUAYAS;-2,11840440;-79,58298260;45;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/05/2023;ENCONTRADO;30/05/2023
CHIMBORAZO;-1,46930180;-78,81693960;8;HOMBRE;PERDIDO;NINOS NINAS PERDIDOS;03/04/2023;ENCONTRADO;04/04/2023
COTOPAXI;-1,18322002;-79,24633000;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/05/2023;ENCONTRADO;25/05/2023
LOJA;-4,00529712;-79,19789946;41;HOMBRE;SIN_DATO;SIN_DATO;08/04/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,90633913;-79,68928332;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/03/2023;ENCONTRADO;11/06/2023
IMBABURA;0,34714690;-78,13236480;30;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;30/03/2023;ENCONTRADO;02/05/2023
GUAYAS;-2,23942080;-79,92941400;43;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/04/2023;ENCONTRADO;02/05/2023
MANABI;-0,94322888;-80,72444398;63;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;20/05/2023;ENCONTRADO;23/05/2023
LOJA;-4,01498270;-79,20180700;28;HOMBRE;FALLECIDO;ASESINATO;24/05/2023;FALLECIDO;01/06/2023
PICHINCHA;-0,18065320;-78,46783820;31;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/05/2023;ENCONTRADO;04/06/2023
CAÑAR;-2,72406863;-78,82717864;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;05/03/2023;ENCONTRADO;12/04/2023
LOJA;-4,00369663;-79,19294164;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/05/2023;ENCONTRADO;22/05/2023
PICHINCHA;-0,03651340;-78,06519310;10;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/05/2023;ENCONTRADO;12/05/2023
CAÑAR;-2,55488420;-78,93657397;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/03/2023;ENCONTRADO;10/04/2023
ESMERALDAS;0,96655255;-79,65102905;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;16/03/2023;ENCONTRADO;12/04/2023
PASTAZA;-1,49386742;-77,98693213;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/04/2023;ENCONTRADO;06/06/2023
LOJA;-3,96463715;-79,19429503;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/05/2023;ENCONTRADO;29/05/2023
GUAYAS;-2,22033055;-79,93079896;83;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PATRIMONIAL;22/04/2023;ENCONTRADO;03/05/2023
PICHINCHA;-0,37895850;-78,50696100;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/04/2023;ENCONTRADO;30/05/2023
SANTA ELENA;-2,31083200;-80,77533800;21;MUJER;PROBLEMAS SOCIALES;DROGADICCION;21/04/2023;ENCONTRADO;02/05/2023
PICHINCHA;-0,14990430;-78,43682560;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/04/2023;ENCONTRADO;06/04/2023
PICHINCHA;-0,33016260;-78,45107290;14;MUJER;SIN_DATO;SIN_DATO;12/03/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,21069100;-78,39559860;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/05/2023;ENCONTRADO;02/06/2023
PICHINCHA;-0,37895850;-78,50696100;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/04/2023;ENCONTRADO;30/05/2023
PICHINCHA;-0,37895850;-78,50696100;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/04/2023;ENCONTRADO;30/05/2023
SANTA ELENA;-2,31083200;-80,77533800;2;MUJER;PROBLEMAS SOCIALES;DROGADICCION;21/04/2023;ENCONTRADO;02/05/2023
SANTO DOMINGO DE LOS TSACHILAS;0,01945584;-79,39016467;17;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;26/03/2023;ENCONTRADO;10/04/2023
PICHINCHA;-0,18895600;-78,50786770;33;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/01/2023;ENCONTRADO;02/05/2023
LOS RIOS;-0,77811230;-79,51537730;60;HOMBRE;SIN_DATO;SIN_DATO;27/04/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,93085480;-78,61008773;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/05/2023;ENCONTRADO;06/06/2023
GUAYAS;-2,16901920;-79,80584070;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/05/2023;ENCONTRADO;31/05/2023
PICHINCHA;-0,28629289;-78,56564535;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/05/2023;ENCONTRADO;30/05/2023
GUAYAS;-1,79624000;-79,99176000;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;30/04/2023;ENCONTRADO;08/05/2023
GUAYAS;-2,15995129;-79,79422609;36;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;18/04/2023;ENCONTRADO;11/05/2023
TUNGURAHUA;-1,32914026;-78,54154503;22;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/04/2023;ENCONTRADO;15/05/2023
AZUAY;-2,87828774;-78,99841447;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/05/2023;ENCONTRADO;15/06/2023
CHIMBORAZO;-2,02025430;-78,97371700;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/04/2023;ENCONTRADO;12/04/2023
GUAYAS;-2,19477285;-79,90663659;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/03/2023;ENCONTRADO;07/04/2023
CHIMBORAZO;-1,46930180;-78,81693960;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/04/2023;ENCONTRADO;05/04/2023
CHIMBORAZO;-1,69017800;-78,67514100;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/05/2023;ENCONTRADO;31/05/2023
PICHINCHA;-0,24295610;-78,49729060;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;30/04/2023;ENCONTRADO;17/05/2023
ESMERALDAS;0,33008604;-79,45714057;33;MUJER;SIN_DATO;SIN_DATO;25/03/2023;DESAPARECIDO;SIN_DATO
LOJA;-3,95942241;-79,24099126;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/05/2023;ENCONTRADO;26/05/2023
EL ORO;-3,10839421;-79,89914147;55;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;06/04/2023;ENCONTRADO;06/04/2023
SANTA ELENA;-2,24384700;-80,92812400;12;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/04/2023;ENCONTRADO;02/04/2023
MORONA SANTIAGO;-2,45364261;-78,16450596;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/02/2023;ENCONTRADO;03/05/2023
PICHINCHA;-0,09880693;-78,42446802;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;30/05/2023;ENCONTRADO;04/06/2023
TUNGURAHUA;-1,33190398;-78,54321873;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/03/2023;ENCONTRADO;16/05/2023
NAPO;-0,98681340;-77,81912360;22;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/05/2023;ENCONTRADO;03/05/2023
PICHINCHA;-0,26158264;-78,51744416;10;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;05/04/2023;ENCONTRADO;06/04/2023
PASTAZA;-1,53014171;-77,83427238;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/03/2023;ENCONTRADO;05/04/2023
GUAYAS;-2,15644573;-79,82175707;30;HOMBRE;SIN_DATO;SIN_DATO;14/04/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,71400220;-80,10935700;22;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/05/2023;ENCONTRADO;30/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25632149;-79,16058316;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/04/2023;ENCONTRADO;06/04/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,28199507;-79,17564584;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/04/2023;ENCONTRADO;10/06/2023
PICHINCHA;-0,04262850;-78,43098240;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/03/2023;ENCONTRADO;22/04/2023
EL ORO;-3,24511240;-79,93941970;36;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;26/05/2023;ENCONTRADO;13/06/2023
AZUAY;-2,79520093;-79,16830033;33;HOMBRE;SIN_DATO;SIN_DATO;26/04/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;0,01828194;-79,38587666;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/04/2023;ENCONTRADO;15/05/2023
MORONA SANTIAGO;-2,26522245;-78,08791595;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/04/2023;ENCONTRADO;25/05/2023
PICHINCHA;-0,23468298;-78,49236744;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/03/2023;ENCONTRADO;05/04/2023
LOS RIOS;-1,00664000;-79,46054420;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/04/2023;ENCONTRADO;03/05/2023
PICHINCHA;-0,08125168;-78,44759998;29;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/03/2023;ENCONTRADO;06/04/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24182220;-79,19356390;25;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;24/04/2023;ENCONTRADO;27/04/2023
AZUAY;-2,90147850;-79,03740940;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/05/2023;ENCONTRADO;18/05/2023
NAPO;-1,02778782;-77,67310524;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/04/2023;ENCONTRADO;06/04/2023
IMBABURA;0,27733471;-78,23609991;71;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;25/05/2023;ENCONTRADO;28/05/2023
PICHINCHA;-0,06398820;-78,35008750;12;MUJER;SIN_DATO;SIN_DATO;30/04/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,10992750;-79,97497700;23;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/03/2023;ENCONTRADO;20/03/2023
GUAYAS;-2,15536796;-79,91923408;16;MUJER;SIN_DATO;SIN_DATO;03/04/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,87886300;-79,02838800;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/04/2023;ENCONTRADO;19/05/2023
PICHINCHA;-0,32764400;-78,56735470;8;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/05/2023;ENCONTRADO;31/05/2023
AZUAY;-2,79572050;-78,76745620;48;HOMBRE;SIN_DATO;SIN_DATO;25/04/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,12827631;-79,89337201;47;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/02/2023;ENCONTRADO;06/05/2023
AZUAY;-2,87870500;-79,02842300;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/04/2023;ENCONTRADO;19/05/2023
GUAYAS;-2,08507963;-79,98820597;13;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;26/01/2023;ENCONTRADO;31/05/2023
AZUAY;-3,06113050;-79,74503420;10;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/05/2023;ENCONTRADO;03/05/2023
IMBABURA;0,44732880;-78,00526780;25;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/05/2023;ENCONTRADO;25/05/2023
GUAYAS;-2,13718100;-79,61149380;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;06/04/2023;ENCONTRADO;07/04/2023
PICHINCHA;-0,07953980;-78,44851140;76;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;03/05/2023;ENCONTRADO;06/05/2023
GUAYAS;-2,12252930;-80,00013500;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/04/2023;ENCONTRADO;03/05/2023
GUAYAS;-2,23024419;-79,94088358;37;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;06/04/2023;ENCONTRADO;07/04/2023
SUCUMBIOS;0,07827455;-76,89463969;18;MUJER;SIN_DATO;SIN_DATO;09/03/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,85185228;-79,01542385;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/04/2023;ENCONTRADO;15/06/2023
PICHINCHA;-0,29372870;-78,54982386;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/04/2023;ENCONTRADO;03/05/2023
BOLIVAR;-1,59733217;-79,00419836;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/04/2023;ENCONTRADO;09/04/2023
AZUAY;-2,85185228;-79,01542385;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/04/2023;ENCONTRADO;15/06/2023
COTOPAXI;-0,92924321;-78,61097099;12;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/04/2023;ENCONTRADO;02/05/2023
AZUAY;-2,85185228;-79,01542385;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/04/2023;ENCONTRADO;15/06/2023
COTOPAXI;-0,92924321;-78,61097099;10;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/04/2023;ENCONTRADO;02/05/2023
GUAYAS;-1,82040000;-79,83667000;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;09/05/2023;ENCONTRADO;30/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24924010;-79,18041880;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/02/2023;ENCONTRADO;25/05/2023
PICHINCHA;-0,51140020;-78,56701900;31;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;27/05/2023;ENCONTRADO;30/05/2023
GUAYAS;-2,12848130;-79,99864010;16;MUJER;SIN_DATO;SIN_DATO;05/04/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,23780927;-78,51807931;17;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;20/04/2023;ENCONTRADO;03/05/2023
GUAYAS;-2,25335230;-79,88428260;45;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;14/02/2023;ENCONTRADO;31/05/2023
PICHINCHA;-0,25434460;-78,50386340;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/03/2023;ENCONTRADO;06/04/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26292900;-79,19814800;54;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;13/04/2023;ENCONTRADO;05/06/2023
IMBABURA;0,22210244;-78,26499760;10;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/05/2023;ENCONTRADO;30/05/2023
COTOPAXI;-0,92728447;-78,61404749;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/05/2023;ENCONTRADO;09/05/2023
MANABI;0,07999515;-80,03728083;22;HOMBRE;SIN_DATO;SIN_DATO;28/04/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,78062847;-78,63984249;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/04/2023;ENCONTRADO;03/05/2023
GUAYAS;-2,14457963;-79,92373466;81;MUJER;FALLECIDO;ACCIDENTAL;19/04/2023;FALLECIDO;31/05/2023
MORONA SANTIAGO;-2,31921753;-78,11893301;12;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;29/05/2023;ENCONTRADO;30/05/2023
COTOPAXI;-0,94079564;-79,23060378;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/05/2023;ENCONTRADO;30/05/2023
NAPO;-0,97856247;-77,85262455;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/05/2023;ENCONTRADO;26/05/2023
PICHINCHA;-0,28965180;-78,54244455;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/04/2023;ENCONTRADO;15/05/2023
PICHINCHA;-0,33332027;-78,44416603;14;MUJER;SIN_DATO;SIN_DATO;17/04/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,25709600;-78,55000300;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/04/2023;ENCONTRADO;09/04/2023
